Product Name,Top Category,Category Name,Country,Brand,SKU_ARRAY,GTIN
Fearless Energy Drink Red Berry 12 X 500ml,Beverages,Sports & Energy Drinks,Nigeria,Fearless,"[
  ""BNE-062"",
  ""TDV-042"",
  ""IFP-060"",
  ""SNS-016"",
  ""SSV-016"",
  ""CLF-016"",
  ""KOV-022"",
  ""KMS-013"",
  ""TSV-037"",
  ""IBS-016"",
  ""AAE-082"",
  ""SAS-016"",
  ""IKF-025"",
  ""AVI-035"",
  ""EFF-024"",
  ""IHV-090"",
  ""NIV-110"",
  ""LIC-043"",
  ""MTU-189"",
  ""FIE-113"",
  ""IBL-010"",
  ""OJS-050"",
  ""FSS-056"",
  ""OTV-054"",
  ""FFP-007"",
  ""AXV-007"",
  ""NDV-044"",
  ""MTS-128"",
  ""KDS-032"",
  ""NGO-265"",
  ""EWG-047"",
  ""BOA-057"",
  ""JCN-057"",
  ""TUC-055"",
  ""JCM-057"",
  ""GSV-038"",
  ""AUN-057"",
  ""FOV-057"",
  ""MZS-182"",
  ""PUM-054"",
  ""BHN-013"",
  ""FHG-007"",
  ""OEM-054"",
  ""COG-034"",
  ""ANC-082"",
  ""HNE-082"",
  ""FAB-082"",
  ""YAB-062"",
  ""DDV-023"",
  ""MAA-031"",
  ""NDG-033"",
  ""USL-019"",
  ""RGV-189""
]",5051615008715
Fanta Pet 12 X 35cl,Beverages,Fizzy Drinks,Nigeria,Fanta,"[
  ""BNE-044"",
  ""DTS-076"",
  ""SGL-036"",
  ""NIV-017"",
  ""AIN-041"",
  ""DES-059"",
  ""OAA-033"",
  ""GLI-039"",
  ""FFN-035"",
  ""BKV-027"",
  ""HDE-008"",
  ""IFP-041"",
  ""DBG-013"",
  ""ONT-038"",
  ""PLT-015"",
  ""OBA-054"",
  ""FNF-054"",
  ""RDN-009"",
  ""BZG-054"",
  ""MTD-044"",
  ""OAN-374"",
  ""AAE-061"",
  ""MZS-112"",
  ""TGV-240"",
  ""IHV-056"",
  ""MTU-141"",
  ""SBL-043"",
  ""GGP-058"",
  ""OJS-036"",
  ""FSS-038"",
  ""OTV-038"",
  ""NDV-025"",
  ""MTS-074"",
  ""ACV-021"",
  ""GRG-028"",
  ""BPL-012"",
  ""BPL-002"",
  ""NAN-011"",
  ""GPS-016"",
  ""MBS-013"",
  ""KDS-008"",
  ""NGO-209"",
  ""STP-007"",
  ""OBZ-013"",
  ""WME-039"",
  ""WSE-062"",
  ""SDE-022"",
  ""AKT-107"",
  ""MZS-029"",
  ""AME-062"",
  ""CTI-045"",
  ""MZS-172"",
  ""ANC-054"",
  ""HNE-054"",
  ""FAB-054"",
  ""YAB-036"",
  ""JNE-032"",
  ""MAA-024"",
  ""BCI-013"",
  ""DMS-033"",
  ""HIE-062"",
  ""BVS-062"",
  ""GWS-021"",
  ""LBS-029"",
  ""HOM-105"",
  ""USL-015"",
  ""VVW-021"",
  ""AMC-031"",
  ""GWV-019"",
  ""FLI-142"",
  ""RGV-141"",
  ""HPR-142""
]",''
Big Cola 12 X 360ml,Beverages,Fizzy Drinks,Nigeria,Big Cola,"[
  ""DTS-032"",
  ""SGL-004"",
  ""AIN-006"",
  ""DES-018"",
  ""EIV-008"",
  ""UAL-004"",
  ""GVL-009-1"",
  ""GVL-009"",
  ""EJN-054"",
  ""MGS-120"",
  ""AWR-003"",
  ""RVS-028"",
  ""TEF-002"",
  ""DFM-005"",
  ""ARI-002"",
  ""BOR-003"",
  ""KOV-005"",
  ""RRV-024"",
  ""JMB-052"",
  ""OLT-001"",
  ""RZE-018"",
  ""DOS-002"",
  ""ODL-007"",
  ""IHV-019"",
  ""SBL-006"",
  ""GGP-005"",
  ""FFP-015"",
  ""AXV-011"",
  ""GRG-004"",
  ""NAN-009"",
  ""MBS-009"",
  ""NGO-093"",
  ""SEL-007"",
  ""WSE-032"",
  ""SIE-054"",
  ""NKE-054"",
  ""FIS-054"",
  ""DDD-007"",
  ""MGC-053"",
  ""AME-032"",
  ""FHG-015"",
  ""AON-003"",
  ""HIE-032"",
  ""BVS-032"",
  ""FLI-050"",
  ""HPR-050""
]",''
Sprite Lemon Lime No Sugar 12 X 50cl,Beverages,Fizzy Drinks,Nigeria,Sprite,"[
  ""BNE-020"",
  ""RLG-035"",
  ""DES-041"",
  ""CNM-030"",
  ""OAA-021"",
  ""LAM-082"",
  ""BKV-017"",
  ""SAG-026"",
  ""IFP-019"",
  ""DBG-008"",
  ""AAE-039"",
  ""MZS-098"",
  ""IKF-006"",
  ""NDV-018"",
  ""MUP-034"",
  ""GRG-014"",
  ""NGO-177"",
  ""WME-023"",
  ""MTU-122"",
  ""FSS-020"",
  ""OTV-025"",
  ""SDE-014"",
  ""LBS-015"",
  ""VVW-007"",
  ""AMC-017"",
  ""RGV-122""
]",The GTIN for 'Sprite Lemon Lime No Sugar 12 X 50cl' is 5449000238842.
Bevi Mix Mango 24 X 6g,Beverages,Powdered Beverage Mixes,Nigeria,Bevi Mix,"[
  ""MLV-044""
]",''
Ovaltine Sachet 12 X 400g,Beverages,Powdered Beverage Mixes,Nigeria,Ovaltine,"[
  ""PSR-022"",
  ""FCC-006"",
  ""RIL-016"",
  ""EGE-003"",
  ""AIL-005"",
  ""CFO-214"",
  ""AUE-014"",
  ""MID-005"",
  ""ATE-005"",
  ""PDG-005"",
  ""FCU-007"",
  ""CVT-002"",
  ""OKG-002"",
  ""WTM-029""
]",''
Iphone 13 Pro Max Fashion Case,Electronics,Mobile Phone Cases,Nigeria,iPhone,"[
  ""MAC-015""
]",''
Ayoola Poundo Yam Flour 10 X 900g,Food,Flour,Nigeria,Ayoola,"[
  ""BGR-046""
]",0634158793652
Auntie B Pasta Spaghetti 20 X 500g,Food,Pasta & Noodles,Nigeria,Auntie B,"[
  ""BGR-036""
]",''
Golden Penny Garri 5kg,Food,Flour,Nigeria,GOLDEN PENNY,"[
  ""BGR-034"",
  ""YAZ-017"",
  ""YAE-017""
]",''
Goldenvita Whole Wheat Meal 10 X 1kg,Food,Flour,Nigeria,GOLDEN PENNY,"[
  ""BGR-030""
]",''
Parle-G Original Gluco Biscuits 48 X 45g,Food,Biscuits,Nigeria,Parle,"[
  ""SFC-011-1"",
  ""SFC-011"",
  ""KIP-011"",
  ""AGT-032"",
  ""TIE-164"",
  ""NGO-015"",
  ""FSE-107"",
  ""CHA-116"",
  ""ASN-107"",
  ""EJG-117"",
  ""MIL-116"",
  ""JAS-104"",
  ""MMG-105"",
  ""IFR-115"",
  ""FUV-018"",
  ""SFG-018"",
  ""ADS-015"",
  ""WTM-163""
]",8901719300012
Fungyue For You Goat Meat Seasoning 50 X 10g,Food,Seasonings & Spices,Nigeria,FungYue,"[
  ""EBL-026"",
  ""AGI-028"",
  ""HKV-039"",
  ""OBI-001""
]",6958656800323
Twisco Food Drink Powder Sachet 250 X 23g,Beverages,Powdered Beverage Mixes,Nigeria,Twisco,"[
  ""EBL-011"",
  ""TSH-143"",
  ""SOR-011"",
  ""XMG-011"",
  ""AJG-011"",
  ""KKG-011"",
  ""TJS-011"",
  ""ASW-055"",
  ""OAV-011"",
  ""BZS-011"",
  ""JJE-011"",
  ""LRL-011"",
  ""GNL-020"",
  ""CTE-011"",
  ""PDG-028"",
  ""BSB-122"",
  ""KTV-020"",
  ""SOO-011"",
  ""ODS-011"",
  ""ZFG-011"",
  ""ZDE-011"",
  ""MMV-010"",
  ""RVL-020"",
  ""TGE-019"",
  ""CUT-022""
]",''
Lily Pad Ultra Soft (Long) 8 X 16pcs,Toiletries,Feminine Sanitary Supplies,Nigeria,Lily Pad,"[
  ""RRL-027""
]",''
Rose Belle Kitchen Towel 2 Ply X 4,Home & Garden,Kitchen Paper,Nigeria,Rose Belle,"[
  ""GVL-034"",
  ""EIL-008""
]",''
Energro All Milk Biscuits 24 X 40g,Food,Biscuits,Nigeria,Energro,"[
  ""PTF-071"",
  ""BGS-098"",
  ""BSB-080"",
  ""OKN-088""
]",''
Golden Penny Twist 20 X 500g,Food,Pasta & Noodles,Nigeria,GOLDEN PENNY,"[
  ""BGR-012"",
  ""EXS-028"",
  ""OEN-017"",
  ""EBL-010"",
  ""SNL-054"",
  ""TSH-042"",
  ""KAZ-010"",
  ""PTF-050"",
  ""MGS-146"",
  ""JNS-004"",
  ""CFM-003"",
  ""OEN-133"",
  ""SGM-008"",
  ""AIB-002"",
  ""DUV-075"",
  ""SSD-097"",
  ""WTM-335"",
  ""LBV-042"",
  ""MMD-092"",
  ""ASY-006"",
  ""BSG-006"",
  ""ACI-009"",
  ""EEM-005"",
  ""HOM-017"",
  ""COE-004"",
  ""HKV-018"",
  ""BUE-015"",
  ""BNS-005"",
  ""DGR-002"",
  ""JPN-013"",
  ""VCE-013"",
  ""FDL-004"",
  ""YMR-010"",
  ""FGE-146"",
  ""WSE-146"",
  ""KVN-006"",
  ""PTV-084"",
  ""AKT-074"",
  ""AME-146"",
  ""TSM-006"",
  ""AMS-005"",
  ""NIE-009"",
  ""MET-006"",
  ""BVS-146"",
  ""DGO-021"",
  ""EBF-021"",
  ""LKS-006"",
  ""ADS-029"",
  ""IGL-021"",
  ""DFV-021"",
  ""STS-015"",
  ""JCL-003""
]",''
Pepsi Diet Pet 12 X 50cl,Beverages,Fizzy Drinks,Nigeria,Pepsi,"[
  ""UAL-029""
]",''
Rose Belle Facial Tissue 2 Ply,Home & Garden,Facial Tissues,Nigeria,Rose Belle,"[
  ""GVL-031"",
  ""RTS-003"",
  ""EIL-005""
]",''
Smirnoff Ice Guranna 24 X 33cl,Beverages,Flavoured Alcoholic Beverages,Nigeria,Smirnoff,"[
  ""LAM-153"",
  ""LDL-013"",
  ""GGV-022"",
  ""PPV-041"",
  ""LDO-009"",
  ""CBM-009"",
  ""QWM-018"",
  ""COS-010"",
  ""OBL-010"",
  ""ELG-010"",
  ""MRN-009"",
  ""MBR-009"",
  ""KIS-009"",
  ""MBL-013"",
  ""OTE-041"",
  ""VAS-011"",
  ""GSM-041"",
  ""CIC-022"",
  ""DEM-022"",
  ""DAE-007"",
  ""MTU-119"",
  ""EDB-119"",
  ""CID-004"",
  ""PND-026"",
  ""PGI-012"",
  ""VAS-044"",
  ""PND-012"",
  ""YOV-012"",
  ""FLI-118"",
  ""RGV-119"",
  ""HPR-117""
]",''
Eva Natural Fairness Soap 48 X 150g,Toiletries,Bar Soap,Nigeria,Eva,"[
  ""EIL-083"",
  ""ESV-008"",
  ""NGV-008"",
  ""GPE-013"",
  ""MAP-031"",
  ""FIT-031"",
  ""GTF-033""
]",''
Meditol Medicated Soap 48 X 75g,Toiletries,Bar Soap,Nigeria,Meditol,"[
  ""EIL-071""
]",''
Sniper Flying Insect Killer 24 X 600ml,Home & Garden,Pesticides,Nigeria,Sniper,"[
  ""JIL-061""
]",8906045455351
Best Marula Fruit Cream Liqueur 24 X 20cl,Beverages,Liqueurs,Nigeria,Best,"[
  ""OWO-012""
]",5060108450053
Nokia 105 African Edition Black 4mb,Electronics,Mobile Phones,Nigeria,Nokia,"[
  ""MGP-016""
]",6438409055628
Lux Even Complexion Soap Bar 48 X 125g,Toiletries,Bar Soap,Nigeria,Lux,"[
  ""IFJ-113""
]",''
Knorr Seasoning Powder Chicken 21 X 10 X 12 X 8g,Food,Seasonings & Spices,Nigeria,Knorr,"[
  ""IFJ-107""
]",4892329013022
Sunlight 2 In 1 Hand Washing Powder Spring Sensations 72 X 80g,Toiletries,Laundry Detergent,Nigeria,Sunlight,"[
  ""IFJ-085""
]",''
Silver Fox For Women 6 X 360ml,Toiletries,Medicines & Drugs,Nigeria,Silver Fox,"[
  ""BAS-064""
]",8712115100019
Sweetco Cona Café 48 X 150g,Food,Candies,Nigeria,Sweetco,"[
  ""JIL-068""
]",''
Molfix No. 2,Baby And Toddler,Nappies,Nigeria,Molfix,"[
  ""AJS-051"",
  ""SSS-051""
]",''
Taste Of Love Mixed Grain Crunchy Snacks 52 X 30g,Food,Crisps,Nigeria,Taste of Love,"[
  ""PIS-105""
]",''
Kemps Crackers,Food,Crackers,Nigeria,kemps,"[
  ""50 and 20""
]",''
Mp3 Multipurpose Bar Soap 120g X 24,Toiletries,Bar Soap,Nigeria,Mp3,"[
  ""AMA-016""
]",''
Williams Dark Ale Rgb 12 X 60cl,Beverages,Beer,Nigeria,Williams,"[
  ""YGV-039"",
  ""MPL-039"",
  ""GLI-065"",
  ""OTS-038"",
  ""VTV-038"",
  ""MVN-047"",
  ""OBA-084"",
  ""FMV-038"",
  ""PGC-038"",
  ""MPV-038"",
  ""KAY-038"",
  ""FNF-084"",
  ""BZG-084"",
  ""MNL-027"",
  ""MBG-027"",
  ""OIC-027"",
  ""OAN-404"",
  ""TYN-027"",
  ""DSV-019"",
  ""GKN-047"",
  ""MBS-044"",
  ""BKL-025"",
  ""ANC-142"",
  ""HNE-142"",
  ""FAB-142"",
  ""FOM-054"",
  ""JIB-037"",
  ""RBC-039"",
  ""MHV-039"",
  ""DDB-039"",
  ""AYA-039"",
  ""AMO-033"",
  ""HPR-195""
]",5025148132345
Heineken Premium Lager Beer Rgb 12 X 60cl,Beverages,Beer,Nigeria,Heineken,"[
  ""YGV-019"",
  ""MPL-019"",
  ""GLI-050"",
  ""DME-002"",
  ""OTS-018"",
  ""VTV-018"",
  ""MVN-021"",
  ""Anaebo Global Services Ltd"",
  ""OBA-069"",
  ""TSE-004"",
  ""FMV-018"",
  ""TIR-006"",
  ""PGC-018"",
  ""MPV-018"",
  ""KAY-018"",
  ""FNF-069"",
  ""BZG-069"",
  ""MNL-012"",
  ""MBG-012"",
  ""OIC-012"",
  ""OAN-389"",
  ""TYN-012"",
  ""DSV-005"",
  ""EFF-031"",
  ""RNL-001"",
  ""NDK-016"",
  ""GKN-021"",
  ""MBS-020"",
  ""NGO-287"",
  ""POC-004"",
  ""BKL-007"",
  ""HOS-004"",
  ""DCE-008"",
  ""VEN-012"",
  ""WTD-002"",
  ""ANC-108"",
  ""HNE-108"",
  ""FAB-108"",
  ""FOM-021"",
  ""JIB-017"",
  ""RRI-008"",
  ""FSG-115"",
  ""RBC-019"",
  ""MHV-019"",
  ""DDB-019"",
  ""ECN-020"",
  ""AYA-019"",
  ""AMO-014"",
  ""HPR-186""
]",8712000055789
Laziz Pure Vegetable Oil 12 X 1l,Food,Cooking Oils,Nigeria,Laziz,"[
  ""STG-035"",
  ""NEA-040"",
  ""CLL-021"",
  ""CGS-008"",
  ""UAS-040"",
  ""TBM-040"",
  ""STS-193"",
  ""LBV-220"",
  ""DNL-021"",
  ""VCE-040"",
  ""IFS-017"",
  ""VMB-009"",
  ""MNE-009"",
  ""CRG-031"",
  ""FCU-043"",
  ""DGO-141"",
  ""EBF-141"",
  ""DFV-147"",
  ""AAV-002"",
  ""BSA-006""
]",''
Magik Multi Purpose Detergent Powder 24 X 170g,Toiletries,Laundry Detergent,Nigeria,Magik,"[
  ""UDE-016"",
  ""MAP-060"",
  ""RVN-009"",
  ""NDM-005"",
  ""CCN-038"",
  ""RGL-016"",
  ""DEE-069"",
  ""HRV-012""
]",''
Tetmosol Protect Plus Anticeptic Disinfectant    3 X 8 X 500ml,Toiletries,Bar Soap,Nigeria,Tetmosol,"[
  ""MAP-051""
]",''
Laziz Custard Powder Vanilla Flavour 80 X 40g,Food,Grain & Cereals,Nigeria,Laziz,"[
  ""STG-044"",
  ""CLL-029"",
  ""CGS-019"",
  ""CGS-015"",
  ""EBL-160"",
  ""LBV-230"",
  ""NDB-012"",
  ""DNL-029"",
  ""MGR-006"",
  ""ISL-024"",
  ""MNE-014"",
  ""FCU-056"",
  ""APS-011"",
  ""DGO-149"",
  ""EBF-149"",
  ""DFV-155"",
  ""FDA-007"",
  ""BSA-014""
]",8906091680565
Dubic Malt Pet 24 X 33cl,Beverages,Malt,Nigeria,Dubic,"[
  ""LDL-035"",
  ""BGN-033""
]",''
Mamador Pure Vegetable Oil 4 X 3.5l,Food,Cooking Oils,Nigeria,Mamador,"[
  ""NEA-018"",
  ""UAS-018"",
  ""TBM-018"",
  ""IVL-007"",
  ""LBV-110"",
  ""HJM-003"",
  ""VMB-005"",
  ""PTV-158"",
  ""KCP-010""
]",''
Rc Apple Pet 12 X 35cl,Beverages,Fizzy Drinks,Nigeria,RC,"[
  ""BOR-028"",
  ""AVI-049"",
  ""COG-046""
]",''
Bembem Baby Diaper 5 Junior (3 X 70pcs),Baby And Toddler,Nappies,Nigeria,bebem,"[
  ""MRL-002"",
  ""FRE-038""
]",8681299606187
Peak Uht Milk Low Fat 12 X 1l,Beverages,Milk,Nigeria,Peak,"[
  ""JCB-007""
]",''
Quaker Oats Sachets 5 X 50g,Food,Oats - Grits & Oatmeal,Nigeria,QUAKER OATS,"[
  ""HPI-040""
]",''
Ovaltine Pouch 12 X 350g,Beverages,Powdered Beverage Mixes,Nigeria,Ovaltine,"[
  ""HPI-099"",
  ""TDI-012"",
  ""LGR-022""
]",4871013010423
Fincap Glucose D 15 X 400g,Food,Sugar & Sweeteners,Nigeria,Fincap,"[
  ""FIC-010""
]",''
Yale Rocky Bite Baked Chin Chin 96 X 30g,Food,Appetisers & Snacks,Nigeria,YALE,"[
  ""AGT-072"",
  ""FUV-095"",
  ""SFG-095"",
  ""CEA-072"",
  ""CCN-027"",
  ""RRE-039""
]",''
Tcb Naturals Nourishing Hair Food Moisture Rich Treatment 12 X 100ml,Toiletries,Haircare,Nigeria,tcb naturals,"[
  ""SIS-407""
]",''
Wondergirl Classic Xxl 112 X 7 X 320mm,Toiletries,Feminine Sanitary Supplies,Nigeria,WONDERGIRL,"[
  ""HYG-023"",
  ""MAU-029"",
  ""FKS-011"",
  ""IMG-021"",
  ""PRV-029"",
  ""OPG-041"",
  ""ADE-025"",
  ""HBV-025"",
  ""EPL-003""
]",''
Magik Multi Purpose Detergent Powder 55 X 50g,Toiletries,Laundry Detergent,Nigeria,Magik,"[
  ""FIT-073""
]",8906007281681
Yara Baby Diapers 3 Midi (4 X 36pcs),Baby And Toddler,Nappies,Nigeria,Yara,"[
  ""OPG-014""
]",''
Chikun Feed Layer 1 Pellet Heat Treated 1 X 50kg,Business & Industrial,Business & Industrial,Nigeria,CHIKUN,"[
  ""HAN-021"",
  ""HEE-021""
]",''
Funaden Foods Pure Palm Oil 48 X 70ml,Food,Cooking Oils,Nigeria,Funaden Foods,"[
  ""FFS-001""
]",''
2sure Herbal Moisture Plus Bar Soap 24 X 30g,Toiletries,Bar Soap,Nigeria,2Sure,"[
  ""SBL-078""
]",4897054091333
Delfin Laundry Soap Gold 36 X 110g,Brand Manufacturers,Household Supplies,Nigeria,DELFIN,"[
  ""SIL-006""
]",''
Dogan's Refined Granulated White Sugar 10 X 900g,Food,Sugar & Sweeteners,Nigeria,Dogan's,"[
  ""STE-033""
]",''
Mr Chef Seasoning Beef Cube 20 X 100 X 4g,Food,Seasonings & Spices,Nigeria,Mr Chef,"[
  ""BAE-008""
]",4892875203166
Peak Full Cream Milk 12 X 360g,Food,Canned & Powdered Milk,Nigeria,Peak,"[
  ""JJS-059""
]",6281057401157
Dimple Blended Scotch Whisky 12 X 1ltr,Beverages,Whiskey,Nigeria,Dimple,"[
  ""AIS-047"",
  ""JGL-047"",
  ""FSG-047"",
  ""CFA-047"",
  ""ARN-047"",
  ""SAN-047"",
  ""MVG-047"",
  ""VIC-047"",
  ""TAS-047"",
  ""JDS-047"",
  ""ASG-047"",
  ""MCL-047""
]",50242688
Peak Full Cream Sachet Milk 21 X (10 X 14g),Food,Canned & Powdered Milk,Nigeria,Peak,"[
  ""JJS-036""
]",6156000025201
Hollandia Yoghurt 24 X 90ml,Food,Yoghurt,Nigeria,Hollandia,"[
  ""BGC-041""
]",''
Colgate Herbal Bs 140g - 12 X 6,Toiletries,Toothpaste,Nigeria,Colgate,"[
  ""ROM-008""
]",''
Chi Exotic Pinacolada 24 X 330ml,Beverages,Juice,Nigeria,Chi,"[
  ""LEV-038"",
  ""DCL-038"",
  ""NCV-038"",
  ""MMS-038""
]",''
Wakana Coffee 150 X 2g,Beverages,Coffee,Nigeria,Wakana,"[
  ""MBN-092""
]",''
Yoghurt Strawberry 10 X 1l,Food,Yoghurt,Nigeria,Hollandia,"[
  ""LEV-015"",
  ""DCL-015"",
  ""NCV-015"",
  ""MMS-015""
]",''
Oxford Meal Time 72 X 21g,Food,Biscuits,Nigeria,OXFORD,"[
  ""AEM-124""
]",''
Johnnie Walker Red Label 12 X 1ltr,Beverages,Whiskey,Nigeria,Johnnie Walker,"[
  ""AIS-089"",
  ""JGL-089"",
  ""FSG-089"",
  ""CFA-089"",
  ""ARN-089"",
  ""SAN-089"",
  ""MVG-089"",
  ""VIC-089"",
  ""TAS-089"",
  ""JDS-089"",
  ""ASG-089"",
  ""MCL-089""
]",04014484710231
So Klin 48 X 90g,Toiletries,Laundry Detergent,Nigeria,SO Klin,"[
  ""MBN-071""
]",8998866809185
Anti Diabetic Tea 20g X 12pcs,Beverages,Tea & Infusions,Nigeria,Friska,"[
  ""FRS-009""
]",''
Veuve Clicquot Rose 12 X 75cl,Beverages,Wine,Nigeria,Veuve Clicquot,"[
  ""MTU-256"",
  ""DEX-009""
]",3248064075506
Ayirah Gold Vitamin C Spa Salt 12 X 750g,Brand Toiletries,Bath & Body,Nigeria, ,"[
  ""RSN-026""
]",8859269660188
Waw Colour 3 X 1.8kg,Toiletries,Laundry Detergent,Nigeria,WAW,"[
  ""ANI-027"",
  ""DVE-013""
]",''
Nestle Golden Morn Cereal 100 X 45g,Food,Grain & Cereals,Nigeria,Golden Morn,"[
  ""OPB-074"",
  ""BEP-021""
]",''
Toke Fair And Even Lotion 24 X 300ml,Brand Toiletries,Cosmetics,Nigeria,Toke Cosmetics,"[
  ""TOK-011""
]",''
Black Sense Sauvage 24 X 50ml,Brand Toiletries,Perfumery,Nigeria,Black Sense Collection,"[
  ""BPF-001""
]",''
Beefie Meat Pie 26 X 75g,Food,Pastries & Scones,Nigeria,Beefie,"[
  ""LBE-017"",
  ""LBS-048"",
  ""JCS-020"",
  ""VVW-040"",
  ""DTD-014""
]",''
Quod Superius 6 X 750ml,Beverages,Wine,Nigeria,QUOD Superius,"[
  ""BDK-024""
]",''
Infinix Note 12 Pro Blue 256gb,Electronics,Mobile Phones,Nigeria,Infinix,"[
  ""MPZ-016"",
  ""GPA-004""
]",''
Viva Plus Detergent Powder 103 X 22g,Toiletries,Laundry Detergent,Nigeria,Viva Plus,"[
  ""HAS-055"",
  ""MLV-008"",
  ""MUS-055"",
  ""PAE-003"",
  ""SJE-007"",
  ""CFO-151"",
  ""SSD-124"",
  ""LBV-104"",
  ""AAE-023"",
  ""HSF-023"",
  ""SFL-003"",
  ""SQZ-042"",
  ""STS-096"",
  ""TIE-207"",
  ""WTM-246"",
  ""MAP-003"",
  ""FIT-003"",
  ""WSE-298"",
  ""CTI-022"",
  ""MEE-002"",
  ""BAK-003"",
  ""ONL-028"",
  ""BRG-029"",
  ""AAT-008"",
  ""BBE-021"",
  ""ABE-041"",
  ""TIE-041"",
  ""GTF-005"",
  ""WTM-170"",
  ""SGE-003""
]",''
Indomie Instant Noodles Belle Full 16 X 280g,Food,Pasta & Noodles,Nigeria,Indomie,"[
  ""MAL-016"",
  ""FMT-008"",
  ""OGE-013"",
  ""LVE-070"",
  ""EIV-011"",
  ""OEN-015"",
  ""EBL-009"",
  ""SNL-072"",
  ""MBE-047"",
  ""LAM-049"",
  ""MGS-144"",
  ""STG-007"",
  ""IFP-007"",
  ""PWS-037"",
  ""AOM-010"",
  ""GBA-007"",
  ""MSM-104"",
  ""CFO-036"",
  ""LBV-040"",
  ""AAE-015"",
  ""MMD-090"",
  ""HOM-015"",
  ""OPG-006"",
  ""HKV-016"",
  ""FSL-008"",
  ""BUE-013"",
  ""JPV-005"",
  ""AGM-005"",
  ""JPN-005"",
  ""VCE-011"",
  ""FDL-023"",
  ""JDV-043"",
  ""ALV-012"",
  ""FGE-144"",
  ""WSE-144"",
  ""PBL-004"",
  ""PTV-082"",
  ""AKT-076"",
  ""IBN-012"",
  ""WNE-025"",
  ""AME-144"",
  ""HPS-110"",
  ""OBQ-110"",
  ""NOV-002"",
  ""KMV-003"",
  ""CEA-003"",
  ""MNM-003"",
  ""CTF-110"",
  ""UVG-003"",
  ""LTC-110"",
  ""IZE-110"",
  ""BEN-110"",
  ""FUB-037"",
  ""IKE-110"",
  ""BBC-110"",
  ""CVE-031"",
  ""SHN-110"",
  ""DTM-110"",
  ""KPD-002"",
  ""NSV-006"",
  ""DZE-110"",
  ""LKH-110"",
  ""EFV-008"",
  ""ABG-037"",
  ""HSN-003"",
  ""CPL-002"",
  ""UGS-003"",
  ""BVS-144"",
  ""DGO-019"",
  ""EBF-019"",
  ""IGL-019"",
  ""DFV-019"",
  ""STS-013"",
  ""WTM-007""
]",''
Arla Dano Cool Cow Instant Filled Milk Powder 5 X 800g,Food,Canned & Powdered Milk,Nigeria,Dano,"[
  ""FCC-003"",
  ""HPI-031"",
  ""CFO-054"",
  ""AUE-004"",
  ""CNL-005"",
  ""STS-049"",
  ""WTM-199"",
  ""IOM-005"",
  ""SLV-004"",
  ""WTM-016""
]",''
Energo Eggrich Biscuits 48 X 38g,Food,Biscuits,Nigeria,Energro,"[
  ""OPB-028"",
  ""BGS-079"",
  ""BSB-067""
]",''
Honeywell Spaghetti 20 X 500g,Food,Pasta & Noodles,Nigeria,HONEYWELL,"[
  ""MLV-053"",
  ""USW-017"",
  ""LAZ-004"",
  ""OEN-141"",
  ""AOM-034"",
  ""GBA-025"",
  ""SSD-135"",
  ""WTM-340"",
  ""LBV-196"",
  ""HSF-040"",
  ""ASY-022"",
  ""BSG-026"",
  ""UUT-007"",
  ""AGN-007"",
  ""OSF-032"",
  ""KVN-012"",
  ""PTV-209"",
  ""TSM-026"",
  ""NIE-030"",
  ""BBE-034"",
  ""OMW-011"",
  ""MET-026"",
  ""NAH-027"",
  ""UBS-017"",
  ""MIS-019"",
  ""JCL-020""
]",''
Kerrygold Avantage Tin 5 X 400g,Food,Canned & Powdered Milk,Nigeria,Kerrygold,"[
  ""PSR-015"",
  ""FCU-002""
]",''
Vivi Fresh Vimtosa 24 X 10g,Beverages,Powdered Beverage Mixes,Nigeria,vivi fresh,"[
  ""MLV-071"",
  ""LBV-201"",
  ""TIE-204"",
  ""WTM-181""
]",''
Lily Pad Ultra Soft Sanitary Pads (16 X 7pcs),Toiletries,Feminine Sanitary Supplies,Nigeria,Lily Pad,"[
  ""MLV-029"",
  ""SFM-033"",
  ""NEM-033"",
  ""WVE-033"",
  ""ZAM-033""
]",''
Yara Baby Diapers 3 Midi (10 X 9pcs),Baby And Toddler,Diapering,Nigeria,Yara,"[
  ""MLV-020"",
  ""SFM-019"",
  ""NEM-019"",
  ""WVE-019"",
  ""BRG-035"",
  ""AEN-009"",
  ""BEP-026"",
  ""ZAM-019""
]",''
Yara Baby Diapers 1 Newborn (4 X 50pcs),Baby And Toddler,Diapering,Nigeria,Yara,"[
  ""MLV-015"",
  ""SFM-014"",
  ""NEM-014"",
  ""WVE-014"",
  ""ZAM-014""
]",''
D’fresh Antiseptic Soap,Toiletries,Bar Soap,Nigeria,Dae,"[
  ""RTS-055""
]",''
Sunshine Aqua Mist X 12,Toiletries,Toiletries,Nigeria,Sunshine,"[
  ""RTS-049""
]",''
English Breeze Anti Bacteria Handwash Relaxing Violet 10 X 650ml,Toiletries,Liquid Hand Soap,Nigeria,English Breeze,"[
  ""DGS-010""
]",''
Sayaad Al Quloob Natural Spray 12 X 100ml,Toiletries,Perfume & Cologne,Nigeria,Sayaad al Quloob,"[
  ""DAS-057""
]",''
