Product Name,Top Category,Category Name,Country,Brand,SKU_ARRAY,GTIN
33 Export Premium Larger Beer 24 X 50cl,Beverages,Beer,Nigeria,33 Export,"[
  ""YGV-068"",
  ""MPL-068"",
  ""GLI-093"",
  ""OTS-067"",
  ""VTV-067"",
  ""OBA-116"",
  ""FMV-067"",
  ""PGC-067"",
  ""MPV-067"",
  ""KAY-067"",
  ""FNF-116"",
  ""BZG-116"",
  ""MNL-055"",
  ""MBG-055"",
  ""OIC-055"",
  ""OAN-436"",
  ""TYN-055"",
  ""HOS-017"",
  ""DCE-026"",
  ""JIB-066"",
  ""RRI-025"",
  ""RBC-067"",
  ""MHV-067"",
  ""DDB-067"",
  ""AYA-068""
]",5449000000996
Orijin Lager Beer 12 X  60cl,Beverages,Gin,Nigeria,Orijin,"[
  ""mbl-042"",
  ""JHR-34"",
  ""ENL-45"",
  ""GAS-45"",
  ""NDN-043"",
  ""NDK-050"",
  ""VAS-055""
]",''
Laziz Custard Powder Vanilla Flavour 12 X 400g,Food,Grain & Cereals,Nigeria,Laziz,"[
  ""STG-043"",
  ""CLL-028"",
  ""LBV-229"",
  ""ISL-023"",
  ""MNE-013"",
  ""FCU-055"",
  ""DNL-028"",
  ""MGR-005"",
  ""APS-010"",
  ""DGO-148"",
  ""EBF-148"",
  ""DFV-154"",
  ""FDA-006"",
  ""BSA-013""
]",8906001126092
Gino Max Chicken 16 X 70g,Food,Seasonings & Spices,Nigeria,Gino,"[
  ""OSF-074"",
  ""CFO-137"",
  ""LBV-267"",
  ""BSG-033"",
  ""HKV-157"",
  ""FSL-080"",
  ""CRG-022"",
  ""FGE-264"",
  ""WSE-264"",
  ""PTV-248"",
  ""BKM-010"",
  ""AME-266"",
  ""CNL-067"",
  ""BVS-266"",
  ""DGO-167"",
  ""EBF-167"",
  ""IGL-138"",
  ""DFV-173"",
  ""WTM-128""
]",''
Bigi Premium Drinking Water 6 X 1.5l,Beverages,Water,Nigeria,Bigi,"[
  ""MTD-073"",
  ""TGV-273"",
  ""IHV-103"",
  ""MTU-206"",
  ""GGP-100"",
  ""IBL-019"",
  ""OJS-076"",
  ""FSS-082"",
  ""BNE-088"",
  ""WME-086"",
  ""MTW-086"",
  ""WSE-099"",
  ""STV-044"",
  ""AKT-140"",
  ""NNL-044"",
  ""AME-099"",
  ""ANC-099"",
  ""HNE-099"",
  ""FAB-099"",
  ""YAB-079"",
  ""DMS-061"",
  ""TAV-061"",
  ""HIE-099"",
  ""BVS-099"",
  ""RGV-206""
]",''
Friso Gold Rice-Based Milk Cereal 12 X 300g,Baby And Toddler,Baby Food,Nigeria,Friso,"[
  ""OLO-020""
]",4897002801590
Terra Chicken Cubes 9 X 20 X 100g,Food,Seasonings & Spices,Nigeria,Terra,"[
  ""AAM-023"",
  ""HYG-009"",
  ""MAU-015"",
  ""LBV-259"",
  ""IMG-007"",
  ""PRV-015"",
  ""HSF-069"",
  ""HKV-149"",
  ""FSL-078"",
  ""CRG-014"",
  ""DLS-013"",
  ""STS-152"",
  ""WTM-302"",
  ""HJM-038"",
  ""OSF-008"",
  ""PTV-240"",
  ""AKT-064"",
  ""RGL-008"",
  ""DEE-053"",
  ""BBE-063"",
  ""ECN-006"",
  ""WTM-120""
]",8850338077488
Mr Dowell's No 1 Whisky 12 X 75cl,Beverages,Whiskey,Nigeria,Mr Dowell's,"[
  ""LDL-007"",
  ""PPV-033"",
  ""MBL-007"",
  ""OTE-033"",
  ""GSM-033"",
  ""SOG-001""
]",8902964110175
Close Up Toothpaste Complete Fresh 5 X 40g,Toiletries,Toothpaste,Nigeria,closeup,"[
  ""KSM-006"",
  ""AIL-010"",
  ""LDM-003"",
  ""AGP-028"",
  ""LBV-326"",
  ""RHL-026"",
  ""LGE-003"",
  ""MUB-004"",
  ""HRV-002"",
  ""AYS-002"",
  ""CGT-040"",
  ""GTF-046""
]",''
Imperio Nuture Talcum Powder 48 X 250g,Toiletries,Body Powder,Nigeria,Imperio,"[
  ""GCG-046""
]",''
Black Wood Alcoholic Bitters Sachet 20 X 50ml,Beverages,Bitters,Nigeria,Black Wood,"[
  ""ETS-025"",
  ""ONT-079"",
  ""DKP-079"",
  ""TRK-025""
]",5060636501913
Amawonda Rosemary Leaves 40 X 50g,Brand Food,Herbs & Spices,Nigeria,AmaWonda Natural Spices,"[
  ""KFC-023""
]",''
